Date,Open,High,Low,Close,Volume
2024-03-25,90.38,92.23,89.36,90.66,1434
2024-03-26,89.88,90.75,88.7,89.98,3150
2024-03-27,90.8,91.02,88.9,90.14,4493
2024-03-28,91.12,92.99,90.23,92.72,4775
2024-03-29,90.59,91.56,88.66,88.8,1763
2024-03-30,91.11,93.05,89.28,90.34,3785
2024-03-31,91.2,93.14,90.65,93.02,3853
2024-04-01,92.17,93.91,91.85,93.68,2329
2024-04-02,91.47,92.2,91.09,91.6,3145
2024-04-03,91.14,92.04,90.91,91.61,4921
2024-04-04,90.75,92.48,90.38,90.96,3845
2024-04-05,89.29,90.06,87.86,88.27,2358
2024-04-06,89.58,90.09,89.26,89.64,3906
2024-04-07,89.84,91.05,89.07,89.77,3482
2024-04-08,89.85,91.74,88.13,90.23,1446
2024-04-09,89.62,91.07,89.37,89.51,3017
2024-04-10,88.2,89.43,86.53,89.35,2331
2024-04-11,87.78,88.15,87.07,88.14,1248
2024-04-12,87.44,88.74,87.02,88.22,1165
2024-04-13,86.63,88.62,85.18,87.02,4552
2024-04-14,86.47,86.93,85.14,85.69,4031
2024-04-15,86.88,88.01,85.1,87.47,2358
2024-04-16,88.76,90.54,87.24,89.5,2019
2024-04-17,88.94,90.47,87.29,87.81,1541
2024-04-18,89.2,90.65,88.49,90.46,1758
2024-04-19,89.12,90.59,88.6,90.23,4177
2024-04-20,87.2,88.05,85.65,87.93,4634
2024-04-21,87.18,87.9,85.52,87.25,3128
2024-04-22,87.24,88.89,85.25,87.49,3180
2024-04-23,89.7,91.36,88.76,89.84,1796
2024-04-24,89.51,91.27,88.64,91.09,3947
2024-04-25,89.81,91.65,88.21,91.19,1137
2024-04-26,89.77,90.89,88.96,89.05,3231
2024-04-27,88.6,89.71,86.73,86.81,4472
2024-04-28,89.75,91.38,88.0,89.28,2353
2024-04-29,90.5,91.87,89.53,91.43,3832
